id,acronym,name
209.0.0.0,inn,Universitetet i Innlandet
209.7.0.0,adm,Administrasjonen
209.1.0.0,dnf,Den norske filmskolen
209.2.0.0,alb," Fakultet for anvendt økologi, landbruksfag og bioteknologi"
209.2.2.0,ibt,Institutt for bioteknologi 
209.2.1.0,ijf,Institutt for jordbruksfag 
209.2.3.0,isu,Institutt for skog- og utmarksfag 
209.3.0.0,ftvs,Fakultet for audiovisuelle medier og kreativ teknologi
209.3.3.0,ffv,Faggruppe for Film og fjernsynsvitenskap 
209.3.1.0,iss,Institutt for Spillutdanninger – Spillskolen 
209.3.2.0,itv,Institutt for TV-utdanninger – TV-skolen 
209.4.0.0,hsv,Fakultet for helse- og sosialvitenskap
209.4.8.0,ifi,Institutt for folkehelse- og idrettsvitenskap 
209.4.7.0,ihs,Institutt for helse- og sykepleievitenskap 
209.4.9.0,isv,Institutt for sosialvitenskap og veiledning 
209.5.0.0,lup,Fakultet for lærerutdanning og pedagogikk
209.5.8.0,ie,Institutt for engelsk 
209.5.2.0,ikk,Institutt for kunstfag og kulturstudier 
209.5.3.0,imnk,"Institutt for matematikk, naturfag og kroppsøving "
209.5.7.0,insl,Institutt for nordisk språk og litteratur 
209.5.10.0,pvl,Institutt for pedagogikk ved lærerutdanningene 
209.5.5.0,ped,Institutt for pedagogikk – Lillehammer 
209.5.9.0,isre,"Institutt for samfunnsfag, religion og etikk "
209.5.11.0,sell-lup,Senter for livslang læring – LUP 
209.5.6.0,spu,Senter for praksisrettet utdanningsforskning 
209.6.0.0,hhs,Handelshøgskolen Innlandet - Fakultet for økonomi og samfunnsvitenskap
209.6.4.0,iols,"Institutt for organisasjon, ledelse, styring "
209.6.2.0,ipsy,Institutt for psykologi 
209.6.3.0,irom,"Institutt for reiseliv, opplevelsesnæringer og markedsføring "
209.6.8.0,irfi,"Institutt for rettsvitenskap, filosofi og internasjonale studier"
209.6.5.0,ioe,Institutt for økonomifag 
209.6.9.0,sell-hhs,Senter for livslang læring – HHS 
209.6.7.0,øf,Østlandsforskning
